Date,Open,High,Low,Close,Adj Close,Volume
2014-02-19,183.759995,184.949997,182.869995,183.020004,157.590042,126524300
2014-02-20,183.270004,184.520004,182.600006,184.100006,158.520020,104998100
2014-02-21,184.449997,184.889999,183.800003,183.889999,158.339142,118116400
2014-02-24,184.279999,186.149994,184.199997,184.910004,159.217453,114063900
2014-02-25,185.059998,185.589996,184.229996,184.839996,159.157150,117085000
2014-02-26,185.110001,185.600006,184.330002,184.850006,159.165787,98677200
2014-02-27,184.580002,185.869995,184.369995,185.820007,160.001022,93880800
2014-02-28,185.789993,187.149994,185.050003,186.289993,160.405701,150842000
2014-03-03,184.649994,185.449997,183.750000,184.979996,159.277710,167748500
2014-03-04,186.789993,187.979996,186.750000,187.580002,161.516434,167545900
2014-03-05,187.740005,188.070007,187.449997,187.750000,161.662842,88376900
2014-03-06,188.210007,188.610001,187.779999,188.179993,162.033112,82516500
2014-03-07,188.960007,188.960007,187.429993,188.259995,162.101959,114513500
2014-03-10,187.970001,188.229996,187.080002,188.160004,162.015884,74939200
2014-03-11,188.440002,188.710007,186.800003,187.229996,161.215118,99009100
2014-03-12,186.320007,187.350006,185.899994,187.279999,161.258133,104824400
2014-03-13,187.839996,187.990005,184.660004,185.179993,159.449936,155014300
2014-03-14,184.850006,185.800003,184.440002,184.660004,159.002213,153919600
2014-03-17,185.589996,186.770004,185.509995,186.330002,160.440155,98359500
2014-03-18,186.710007,187.910004,186.509995,187.660004,161.585358,101804600
2014-03-19,187.679993,187.940002,185.470001,186.660004,160.724350,176267300
2014-03-20,186.250000,187.889999,185.919998,187.750000,161.662842,117241000
2014-03-21,187.710007,189.020004,186.029999,186.199997,161.035828,163128000
2014-03-24,186.839996,187.070007,184.619995,185.429993,160.369888,121411000
2014-03-25,186.369995,186.940002,185.270004,186.309998,161.130981,103852000
2014-03-26,187.039993,187.339996,184.919998,184.970001,159.972061,119843000
2014-03-27,184.750000,185.339996,183.899994,184.580002,159.634750,142383000
2014-03-28,185.110001,186.419998,185.000000,185.490005,160.421768,101642000
2014-03-31,186.669998,187.300003,185.520004,187.009995,161.736343,99745000
2014-04-01,187.619995,188.360001,187.000000,188.250000,162.808792,89193000
2014-04-02,188.490005,189.130005,188.139999,188.880005,163.353638,78774000
2014-04-03,189.169998,189.220001,188.050003,188.630005,163.137375,77435000
2014-04-04,189.660004,189.699997,186.100006,186.399994,161.208847,169381000
2014-04-07,185.949997,186.259995,183.960007,184.339996,159.427155,140803000
2014-04-08,184.259995,185.399994,183.589996,185.100006,160.084503,112660000
2014-04-09,185.600006,187.149994,185.059998,187.089996,161.805542,100254000
2014-04-10,187.080002,187.169998,182.929993,183.160004,158.406677,172959000
2014-04-11,182.139999,183.419998,181.309998,181.509995,156.979675,167251000
2014-04-14,182.929993,183.369995,181.440002,182.940002,158.216385,132382000
2014-04-15,183.320007,184.330002,181.509995,184.199997,159.306122,157093000
2014-04-16,185.470001,186.139999,184.649994,186.130005,160.975266,105197000
2014-04-17,185.880005,186.910004,185.559998,186.389999,161.200150,105255000
2014-04-21,186.440002,187.100006,186.210007,187.039993,161.762283,68329000
2014-04-22,187.229996,188.399994,187.130005,187.889999,162.497421,85790000
2014-04-23,187.820007,187.919998,187.300003,187.449997,162.116882,73869000
2014-04-24,188.369995,188.389999,186.929993,187.830002,162.445572,88170000
2014-04-25,187.220001,187.330002,185.869995,186.289993,161.113632,100380000
2014-04-28,187.050003,187.690002,184.960007,186.880005,161.623901,135121000
2014-04-29,187.479996,188.039993,187.080002,187.750000,162.376328,84098000
2014-04-30,187.440002,188.500000,187.179993,188.309998,162.860672,101508000
2014-05-01,188.220001,188.839996,187.729996,188.330002,162.877930,93019000
2014-05-02,188.309998,189.139999,187.779999,188.059998,162.644440,98122000
2014-05-05,187.139999,188.550003,186.619995,188.419998,162.955780,75883000
2014-05-06,188.000000,188.130005,186.740005,186.779999,161.537430,85454000
2014-05-07,187.410004,187.970001,186.009995,187.880005,162.488739,106500000
2014-05-08,187.710007,189.050003,187.080002,187.679993,162.315811,93618000
2014-05-09,187.710007,188.039993,186.830002,187.960007,162.557999,83679000
2014-05-12,188.800003,189.880005,188.000000,189.789993,164.140625,86940000
2014-05-13,190.039993,190.419998,189.770004,189.960007,164.287659,66454000
2014-05-14,189.789993,189.880005,188.789993,189.059998,163.509308,72367000
2014-05-15,188.679993,188.720001,186.479996,187.399994,162.073639,154956000
2014-05-16,187.509995,188.130005,186.720001,188.050003,162.635788,97458000
2014-05-19,187.690002,188.889999,187.520004,188.740005,163.232544,63839000
2014-05-20,188.649994,188.669998,187.070007,187.550003,162.203369,111644000
2014-05-21,188.089996,189.220001,188.059998,189.130005,163.569824,89093000
2014-05-22,189.179993,189.979996,188.860001,189.589996,163.967682,61549000
2014-05-23,189.759995,190.479996,189.589996,190.350006,164.625031,61092800
2014-05-27,191.059998,191.580002,190.949997,191.520004,165.636826,72010000
2014-05-28,191.520004,191.820007,191.059998,191.380005,165.515762,66723000
2014-05-29,191.820007,192.399994,191.330002,192.369995,166.371933,64377000
2014-05-30,192.190002,192.800003,192.029999,192.679993,166.640076,76316000
2014-06-02,192.949997,192.990005,191.970001,192.899994,166.830338,64656000
2014-06-03,192.429993,192.899994,192.250000,192.800003,166.743851,65047000
2014-06-04,192.470001,193.300003,192.270004,193.190002,167.081116,55529000
2014-06-05,193.410004,194.649994,192.699997,194.449997,168.170868,92103000
2014-06-06,194.869995,195.429993,194.779999,195.380005,168.975174,78696000
2014-06-09,195.350006,196.050003,195.169998,195.580002,169.148163,65119000
2014-06-10,195.339996,195.639999,194.919998,195.600006,169.165466,57129000
2014-06-11,194.899994,195.119995,194.479996,194.919998,168.577316,68772000
2014-06-12,194.690002,194.800003,193.110001,193.539993,167.383835,106350000
2014-06-13,193.919998,194.320007,193.300003,194.130005,167.894150,82017000
2014-06-16,193.889999,194.699997,193.660004,194.289993,168.032455,87424000
2014-06-17,194.020004,194.970001,193.809998,194.830002,168.499481,84834000
2014-06-18,194.830002,196.369995,194.399994,196.259995,169.736237,105267000
2014-06-19,196.429993,196.600006,195.800003,196.479996,169.926514,85929000
2014-06-20,196.029999,196.100006,195.699997,195.940002,170.271515,100587000
2014-06-23,195.990005,196.050003,195.520004,195.880005,170.219376,70611000
2014-06-24,195.529999,196.500000,194.479996,194.699997,169.193909,96237000
2014-06-25,194.289993,195.779999,194.250000,195.580002,169.958664,82782000
